model,noise_condition,task_order,switch_rate,n_dyads
anthropic/claude-sonnet-4.5,no_noise,game,0.0,10
anthropic/claude-sonnet-4.5,no_noise,game_myth,0.05,20
anthropic/claude-sonnet-4.5,no_noise,myth_game,0.0,20
anthropic/claude-sonnet-4.5,noise,game,0.0,15
anthropic/claude-sonnet-4.5,noise,game_myth,0.0,15
anthropic/claude-sonnet-4.5,noise,myth_game,0.0,15
anthropic/claude-sonnet-4.5,noise_informed,game,0.0,15
anthropic/claude-sonnet-4.5,noise_informed,game_myth,0.0,15
anthropic/claude-sonnet-4.5,noise_informed,myth_game,0.0,15
google/gemini-3-pro-preview,no_noise,game,0.0,10
google/gemini-3-pro-preview,no_noise,game_myth,0.0,20
google/gemini-3-pro-preview,no_noise,myth_game,0.0,20
google/gemini-3.1-pro-preview,noise,game,0.0,15
google/gemini-3.1-pro-preview,noise,game_myth,0.0,15
google/gemini-3.1-pro-preview,noise,myth_game,0.0,15
google/gemini-3.1-pro-preview,noise_informed,game,0.0,15
google/gemini-3.1-pro-preview,noise_informed,game_myth,0.0,15
google/gemini-3.1-pro-preview,noise_informed,myth_game,0.0,15
openai/gpt-5-nano,no_noise,game,0.1111111111111111,9
openai/gpt-5-nano,no_noise,game_myth,0.25,48
openai/gpt-5-nano,no_noise,myth_game,0.4375,48
openai/gpt-5-nano,noise,game,0.0,45
openai/gpt-5-nano,noise,game_myth,0.0,30
openai/gpt-5-nano,noise,myth_game,0.0,30
openai/gpt-5-nano,noise_informed,game,0.0,42
openai/gpt-5-nano,noise_informed,game_myth,0.0,30
openai/gpt-5-nano,noise_informed,myth_game,0.0,30
